soluzione,definizione
FEDEZ,Il rapper milanese marito di Ferragni
FEDRA,La moglie di Teseo innamorata di Ippolito
FEEDBACK,Il ritorno di informazioni su un'azione
FEGATO,Grande ghiandola dell'addome
FEGATO,"Il coraggio, l'ardimento: avere..."
FELCE,Pianta senza fiori dei luoghi umidi
FELCI,Piante verdi del sottobosco
FELDSPATO,Minerale comunissimo nelle rocce
FELICE,Contento come una pasqua
FELICITA,Pienezza che spesso dura poco
FELINI,Hanno passo morbido e artigli
FELINO,"Gatto, tigre o leone"
FELIX,Il nome del gatto dei cartoni animati
FELLINI,Il Federico di Amarcord
FELPA,La comoda maglia sportiva di cotone pesante
FELPATA,Può esserlo una stoffa soffice e attutita
FELPATE,Possono esserlo stoffe soffici e attutite
FELPATI,Possono esserlo tessuti soffici e attutiti
FELPATO,Può esserlo un tessuto soffice e attutito
FELPE,Scaldano senza eleganza da gala
FELTRO,Tessuto compatto non tessuto
FEMORE,Il più lungo osso del corpo
FENDENTE,Colpo di lama dall'alto
FENDI,La maison romana della moda
FENDITURA,Spaccatura stretta
FENERBAHCE,Il club turco gialloblù di Istanbul
FENICE,Il teatro lirico di Venezia
FENICE,Uccello che fa della cenere un ritorno
FENICI,Antico popolo di navigatori del Levante
FENICOTTERO,Uccello rosa dalle lunghe zampe
FENOGLIO,Il Beppe del Partigiano Johnny
FENOMENO,Fatto osservabile o persona eccezionale
FERETRO,Contenitore dell'ultimo viaggio
FERETRO,La bara che porta il defunto
FERGUSON,Lo storico tecnico scozzese del Manchester United
FERIE,Le agognate vacanze dal lavoro
FERINA,Può esserlo una cosa selvaggia e aggressiva
FERINE,Possono esserlo cose selvagge e aggressive
FERINI,Possono esserlo oggetti selvaggi e aggressivi
FERINO,Può esserlo un oggetto selvaggio e aggressivo
FERIRE,"Procurare una lesione, o offendere a parole"
FERITA,Apertura dolorosa nella pelle o nell'orgoglio
FERITA,L'offesa che brucia nell'animo
FERITA,Taglio o dolore dell'anima
FERITE,Bruciano e si medicano
FERMA,Il periodo del servizio militare
FERMA,Può esserlo una cosa immobile
FERMA,"Lei arresta, blocca"
FERMACRAVATTA,Gioiello che trattiene la cravatta
FERMAGLIO,Il fermo che tiene insieme
FERMAPORTA,L'oggetto che tiene aperta la porta
FERMATA,Dove l'autobus si ferma a far salire
FERMATA,Il segno musicale che prolunga una nota
FERMATA,Punto in cui il mezzo concede ingresso
FERME,Immobile
FERMENTAZIONE,La trasformazione degli zuccheri ad opera dei microbi
FERMI,Immobili
FERMI,L'Enrico premio Nobel della fisica
FERMIONE,Particella a spin semintero
FERMO,Il... posta da ritirare allo sportello
FERMO,"Immobile, ma anche comune marchigiano"
FEROCE,Possono esserlo cose crudeli o selvagge
FEROCI,Possono esserlo oggetti crudeli o selvaggi
FERRAGAMO,Il Salvatore delle calzature di lusso
FERRAGNI,"L'influencer e imprenditrice digitale, Chiara"
FERRANTE,"La misteriosa autrice dell'Amica geniale, Elena"
FERRARA,Città estense del Castello
FERRARI,L'Enzo fondatore della casa di Maranello
FERRE,"Gianfranco..., lo stilista milanese"
FERRE,"Il cantautore genovese, Leo"
FERRERO,La dinastia dolciaria di Alba della Nutella
FERRI,Quelli da maglia intrecciano la lana
FERRIGNO,Duro e grigio come ferro
FERRO,Metallo grigio e magnetico
FERRO,Quello da stiro
FERRO,Quello di cavallo portafortuna
FERRO,"Tiziano, cantautore di Perdono"
FERRO,Va battuto finché è caldo
FERROVIA,Strada di rotaie
FERROVIA,Strada ferrata dei treni
FERROVIE,Portano treni da una città all'altra
FERRUM,Ferro prima del simbolo Fe
FERTILE,Può esserlo un oggetto capace di dare frutto
FERTILI,Possono esserlo oggetti capaci di dare frutti
FERULA,Pianta mediterranea e antica stecca
FERVIDA,Può esserlo una donna accesa di passione
FERVIDE,Possono esserlo donne accese di passione
FERVIDI,Possono esserlo uomini accesi di passione
FERVIDO,Può esserlo un uomo acceso di passione
FERVORE,"L'ardore, l'entusiasmo acceso"
FES,Città marocchina delle concerie
FESSO,"Incrinato, spaccato"
FESSO,Sciocco in modo poco elegante
FESSURA,Apertura stretta
FESSURE,Lasciano passare luce e spifferi
FESTA,Giorno diverso dagli altri
FESTA,"Il party, la baldoria tra amici"
FESTEGGERA,Celebrerà con festa
FESTEGGIA,Celebra con festa
FESTEGGIARE,Celebrare con festa
FESTEGGIATO,Celebrato con festa
FESTEGGIO,Celebro con festa
FESTONE,Addobbo appeso per una festa
FESTONI,Addobbano sale e strade in festa
FESTOSA,Può esserlo una cosa piena di allegria
FESTOSE,Possono esserlo cose piene di allegria
FESTOSI,Possono esserlo oggetti pieni di allegria
FESTOSO,Può esserlo un oggetto pieno di allegria
FETA,Il formaggio greco in salamoia
FETO,Vita non ancora venuta alla luce
FETTA,La buona parte: una... di mercato
FETTA,Parte tagliata prima di servire
FETTA,Porzione tagliata di pane o torta
FETTE,"Si tagliano da pane, torta o salame"
FETTUCCINE,Pasta lunga all'uovo romana
FEYENOORD,Il club olandese di Rotterdam
FEYNMAN,Il fisico americano premio Nobel dei diagrammi
FEZ,Città del Marocco
FEZ,Copricapo che porta una nappa
FG,Iniziali del cantautore Guccini
FG,Sigla automobilistica di Foggia
FI,Sigla automobilistica di Firenze
FI,Sigla internazionale della Finlandia
FIABA,"Narrativa con prove, magie e lieto fine"
FIABA,Racconto di fate e incantesimi
FIABE,Cominciano spesso con un re
FIACCA,Può esserlo una cosa priva di vigore
FIACCHE,Possono esserlo cose prive di vigore
FIACCHI,Possono esserlo oggetti privi di vigore
FIACCO,Può esserlo un oggetto privo di vigore
FIACCOLA,La...olimpica accesa a Olimpia
FIACCOLA,Torcia portata in mano
FIAMMA,La lingua di fuoco
FIAMMA,La vecchia...: l'amore di un tempo
FIAMMA,La...ossidrica del saldatore
FIAMMIFERI,Si accendono strofinando la capocchia
FIAMMINGO,La lingua del nord del Belgio
FIANCO,...a...: l'uno accanto all'altro
FIANCO,Il lato del corpo tra l'anca e le costole
FIASCHI,Contengono vino con paglia intorno
FIASCO,Bottiglia panciuta o insuccesso
FIASCO,Il completo fallimento
FIASCO,La bottiglia impagliata del Chianti
FIATA,Emette un respiro o una parola
FIATAI,Passato remoto: Emettere respiro o parola
FIATATO,Participio: Emettere respiro o parola
FIATO,Gli strumenti a...dell'orchestra
FIATO,Serve a parlare e a resistere
FIATO,Tutto d'un...: senza interruzione
FIBBIA,Chiude cinture e scarpe
FIBBIA,Il fermaglio che chiude la cintura
FIBONACCI,Il Leonardo della celebre successione
FIBRA,"Filamento, tessuto o tenacia"
FIBRA,"La tempra, il carattere: avere... robusta"
FIBRA,Quella ottica dei cavi veloci
FIBULA,Spilla antica o osso della gamba
FICHI,Frutti dolci pieni di semini
FICO,Albero dal frutto dolce
FICO,"Bellissimo, in gergo giovanile"
FICO,Albero e frutto mediterraneo
FICO,Frutto dolce dalla buccia sottile
FICODINDIA,Pianta grassa dai frutti spinosi
FICUS,Pianta da appartamento e da botanici
FIDA,"Sicura, degna di fiducia"
FIDAI,Diedi credito
FIDARE,"Aver credito, non dubitare"
FIDATO,Degno di fiducia
FIDEISMO,Fede che diffida della ragione
FIDEIUSSIONE,Garanzia data per debito altrui
FIDIA,Lo scultore greco del Partenone
FIDO,Il nome tipico del cane
FIDO,"Il...bancario, il credito concesso dalla banca"
FIDO,"Sicuro, degno di fiducia"
FIE,"Debole, se la completi"
FIENILE,Il locale dove si conserva il fieno
FIENO,Erba secca da stalla
FIENO,L'erba secca per il bestiame
FIERA,La belva feroce in gabbia
FIERA,Mercato espositivo o belva orgogliosa
FIERA,Orgogliosa e altera
FIERE,Le...: le esposizioni commerciali
FIERE,Possono esserlo cose orgogliose
FIERI,Possono esserlo oggetti orgogliosi
FIERO,Può esserlo un oggetto orgoglioso
FIEVOLE,"Può esserlo un oggetto debole, appena percepibile"
FIEVOLI,"Possono esserlo oggetti deboli, appena percepibili"
FIGARO,Il barbiere di Siviglia di Rossini
FIGARO,"Il parrucchiere, in tono scherzoso"
FIGARO,Le nozze di... opera di Mozart
FIGI,Arcipelago del Pacifico con capitale Suva
FIGO,"Bello, nel gergo giovanile"
FIGO,"Luis, fuoriclasse portoghese di Real e Inter"
FIGURA,Fare una bella o brutta...
FIGURA,"Forma, immagine o brutta impressione"
FIGURA,L'illustrazione di un libro
FIJI,Arcipelago del Pacifico meridionale
FILA,Coda che non scodinzola
FILA,Lei lavora la lana col fuso
FILADELFIA,La città americana della campana della libertà
FILAI,Andai dritto o feci filo
FILANDA,Fabbrica della seta d'altri tempi
FILARE,Andare dritto o fare filo
FILASTROCCA,Breve rima per bambini
FILASTROCCA,Rima semplice per bambini
FILATO,Andato dritto o fatto filo
FILATORE,Trasforma le fibre in filo
FILEMONE,Ospito gli dei con Bauci
FILIFORME,Sottile come un filo
FILIGRANA,Disegno sottile nella carta o nel metallo
FILIGRANA,Disegno nascosto nella carta
FILIPPINE,Arcipelago asiatico di migliaia di isole
FILIPPO,Il re di Macedonia padre di Alessandro Magno
FILIPPO,Uno dei dodici apostoli
FILISTEI,Antico popolo nemico degli Ebrei
FILISTEO,Nemico biblico e borghese senza gusto
FILO,Il taglio affilato della lama
FILO,Unisce stoffe o pensieri sottili
FILO,Quello del discorso non va perso
FILOAPIOMBO,Strumento che indica la verticale
FILOBUS,L'autobus elettrico collegato a fili aerei
FILODERBA,Sottile stelo del prato
FILOLOGIA,Scienza dei testi e delle parole
FILOTTETE,L'arciere greco abbandonato a Lemno
FILTRA,Passa attraverso una barriera fine
FILTRARE,Passare attraverso un filtro
FILTRATO,Passato attraverso un filtro
FILTRO,"Il...magico, la pozione d'amore"
FILTRO,Passo al colino
FIMBRIA,Orlo sfrangiato o struttura biologica
FINALE,La partita decisiva del torneo
FINALE,Ultimo atto o partita decisiva
FINALISMO,La spiegazione delle cose mediante uno scopo
FINE,"Conclusione, ma anche scopo"
FINE,"Lo scopo, l'obiettivo da raggiungere"
FINE,Sottile e delicato
FINE,"Giustifica i mezzi, per Machiavelli"
FINESTRA,Taglio nel muro da cui entra luce
FINESTRA,Apre la casa alla luce
FINESTRE,Guardano sulla strada
FINEZZA,Sottigliezza elegante
FINI,"Gli scopi, gli obiettivi"
FINI,Sottile o raffinato
FINIMONDO,Disastro rumoroso da fine del mondo
FINIRE,"Arrivare al termine, o...in bellezza"
FINOCCHIO,Ortaggio dal sapore di anice
FINSE,Fece finta
FINTO,"Falso, simulato"
FINTO,Il...tonto: chi finge di non capire
FINTO,Recitato come vero
FIO,Si paga per espiare
FIOCCO,Coi fiocchi: di ottima qualità
FIOCCO,Nodo di nastro o cristallo di neve
FIOCCO,Quello di neve che scende lieve
FIOCINA,Lancia per pescare
FIONDA,L'elastico a forcella per lanciare sassi
FIONDA,Lancia sassi con un elastico
FIONDAI,Passato remoto: Lanciare con impeto
FIONDE,Lanciano sassi con elastici
FIONDO,Lancio con impeto
FIORDALISO,Fiore azzurro dei campi
FIORDO,Insenatura nordica profonda
FIORE,Il meglio: il fior... della gioventù
FIORE,Il seme delle carte francesi
FIORE,Organo vegetale e complimento
FIORELLO,"Lo showman siciliano mattatore, Rosario"
FIORETTO,Sottile spada da scherma
FIORIERE,Ospitano piante sui balconi
FIORINO,L'antica moneta d'oro di Firenze
FIREFOX,Il browser della volpe di fuoco
FIRENZE,La città del Duomo di Brunelleschi
FIREWALL,La barriera che protegge una rete informatica
FIRMA,Il giornalista famoso del quotidiano
FIRMA,Nome scritto in calce
FIRMAMENTO,La volta del cielo stellato
FIRTH,Il Colin del Discorso del re
FISARMONICA,Strumento col mantice
FISARMONICHE,Respirano musica tirando il mantice
FISCHIA,Manda un sibilo
FISCHIARE,Mandare un sibilo
FISCHIATO,Mandato un sibilo
FISCHIETTO,Piccolo strumento da arbitro
FISCHIO,Mando un sibilo
FISCHIO,Suono acuto fatto con le labbra
FISICA,La scienza di Galileo e di Newton
FISICA,"Studia materia, energia e imprevisti scolastici"
FISIOLOGIA,Lo studio delle funzioni del corpo
FISIONOMIA,Volto come insieme di tratti
FISSA,"L'idea...: l'ossessione, il chiodo fisso"
FISSA,Rende stabile o guarda intensamente
FISSAI,Resi stabile o guardai intensamente
FISSARE,Rendere stabile o guardare intensamente
FISSATO,Reso stabile o guardato intensamente
FISSO,Lo stipendio garantito ogni mese
FISSO,Rendo stabile o guardo intensamente
FITBIT,Il braccialetto contapassi e fitness
FITTA,"Il dolore acuto e improvviso, o folta e densa"
FITTIZI,Possono esserlo dati non reali
FITTIZIA,Può esserlo una storia non reale
FITTIZIE,Possono esserlo storie non reali
FITTIZIO,Può esserlo un dato non reale
FITTONANTE,Radice che scende diritta e profonda
FITTONE,La grossa radice principale di certe piante
FITZGERALD,Il Francis Scott del Grande Gatsby
FIUME,Acqua che non resta ferma
FIUME,Un profluvio: un... di parole
FIUME,"In piena, trascina tutto"
FL,Iniziali dell’industriale Lamborghini
FL,"La Florida, negli indirizzi americani"
FLACCIDA,Può esserlo una stoffa molle e cascante
FLACCIDE,Possono esserlo stoffe molli e cascanti
FLACCIDI,Possono esserlo tessuti molli e cascanti
FLACCIDO,Può esserlo un tessuto molle e cascante
FLAGELLO,"Sferza, piaga o coda di cellula"
FLAGRANTE,Colto mentre il fatto brucia ancora
FLAMENCO,Appassionata danza andalusa
FLAMENGO,Il popolare club brasiliano di Rio
FLANELLA,Morbido tessuto di lana o cotone
FLANEUR,Chi passeggia oziando per la città
FLASH,Il lampo della macchina fotografica
FLASH,Il supereroe DC più veloce della luce
FLAUBERT,Autore di Madame Bovary
FLAUTI,Suonano soffiando nei fori
FLAUTO,"Il...magico, opera di Mozart"
FLAUTO,Strumento a fiato dolce o traverso
FLEBILE,Può esserlo un uomo debole e lamentoso
FLEBILI,Possono esserlo uomini deboli e lamentosi
FLEBITE,Infiammazione di una vena
FLEGETONTE,Il fiume di fuoco degli inferi
FLEGMATICO,Calmo fino all'indifferenza
FLEMING,"Ian..., il papà di James Bond"
FLEMING,L'Alexander della penicillina
FLEMMATICA,Può esserlo una donna calma fino alla lentezza
FLEMMATICHE,Possono esserlo donne calme fino alla lentezza
FLEMMATICI,Possono esserlo uomini calmi fino alla lentezza
FLEMMATICO,Calmo fino all'irritante
FLICORNO,Ottone delle bande
FLINTSTONES,La famiglia preistorica dei cartoni
FLORA,La dea romana dei fiori
FLORA,Popolazione vegetale d'un luogo
FLOREALE,Può esserlo un oggetto ricco di fiori
FLOREALI,Possono esserlo oggetti ricchi di fiori
FLORENZI,"Alessandro, esterno di Roma e Milan"
FLORIDA,Può esserlo una cosa prospera e sana
FLORIDE,Possono esserlo cose prospere e sane
FLORIDI,Possono esserlo oggetti prosperi e sani
FLORIDO,Può esserlo un oggetto prospero e sano
FLOYD,"Pink..., la band di The Wall"
FLOYD,Il nome del pugile Mayweather
FLUORO,Elemento dei dentifrici
FLUTTO,"L'onda del mare, in poesia"
FM,Iniziali del cantante Mercury
FM,La radio a modulazione di frequenza
FO,Il Dario di Mistero buffo
FO,Il Dario premio Nobel per il teatro
FOA,Il Vittorio politico e sindacalista antifascista
FOBOS,Una delle lune di Marte
FOCA,La...monaca del Mediterraneo
FOCA,Nuota nei mari freddi con baffi da circo
FOCACCE,Schiacciate morbide da forno
FOCACCIA,Pane basso che profuma di olio
FOCACCIA,Pane basso e condito
FOCE,Dove il fiume si getta nel mare
FOCI,"Sbocchi di fiumi, non bocche qualunque"
FOCIDE,Antica regione greca di Delfi
FOCOLAIO,Centro del fuoco domestico
FOCOLARE,Luogo del fuoco domestico
FODERA,Il rivestimento interno della giacca
FODERO,Custodia di lama o cuscino
FODRAI,Passato remoto: Rivestire internamente
FODRATO,Participio: Rivestire internamente
FOEHN,"L'asciugacapelli, in altra grafia"
FOEHN,Vento caldo e secco di discesa
FOGA,Impeto che dimentica la misura
FOGLIA,...di fico: copertura imbarazzata
FOGLIA,Organo verde della pianta
FOGLIA,Tremare come una...: dalla paura
FOGLIA,"Non si muove senza vento, nel proverbio"
FOGLIE,Cadono in autunno
FOGLIO,"Quello rosa, un tempo, della patente"
FOGNINI,"Fabio, tennista azzurro ligure"
FOLAGA,L'uccello acquatico nero dal becco bianco
FOLGORE,La brigata paracadutisti dell'esercito
FOLGORE,Lampo violento
FOLK,Popolare in musica
FOLKLORE,Tradizione popolare in abito inglese
FOLLA,La gran moltitudine di gente
FOLLA,"Molti corpi, poca distanza"
FOLLA,Molta gente radunata
FOLLE,"Il pazzo, lo squilibrato"
FOLLE,La marcia in cui il motore gira a vuoto
FOLLE,"Senza ragione, ma con slancio"
FOLLETTO,L'aspirapolvere senza sacco della Vorwerk
FOLLETTO,Piccolo spirito dispettoso dei boschi
FOLLIA,Amare alla...: senza misura
FOLLOWER,Chi segue un profilo sui social
FOLTA,Può esserlo una linea fitta
FOLTE,Possono esserlo linee fitte
FOLTI,Possono esserlo profili fitti
FOLTO,"Fitto, detto di capelli o boschi"
FONDA,Dà una base
FONDA,La custodia della pistola alla cintura
FONDAI,Diedi una base
FONDARE,Dare una base
FONDATO,Dato una base
FONDI,I... del caffè sul fondo della tazzina
FONDO,"Base, parte remota o denaro accantonato"
FONDO,Il capitale: il... cassa
FONDO,Specialità dello sci praticata su piste pianeggianti
FONDUE,Piatto svizzero di formaggio fuso
FONDUTA,Il formaggio fuso in cui si intinge
FONEMA,Minimo suono che distingue parole
FONTANA,"...di Trevi, a Roma"
FONTANA,Il Lucio dei tagli nella tela
FONTANA,Getta acqua in piazze e giardini
FONTANE,Gettano acqua nelle piazze
FONTANELLA,Apertura morbida nel cranio del neonato
FONTE,L'origine della notizia per il giornalista
FONTE,Quella battesimale in chiesa
FONTE,Sorgente o origine
FONTEYN,La grande ballerina britannica
FONTINA,Formaggio valdostano da fonduta
FORA,Fa un buco
FORAI,Passato remoto: Fare un buco
FORAMINIFERO,Minuscolo organismo con guscio calcareo
FORATO,Bucato e crivellato
FORATO,Participio: Fare un buco
FORBICE,L'arnese a due lame incernierate per tagliare
FORBICE,La rovesciata acrobatica del calciatore
FORBICE,Taglia con due lame
FORBICE,Taglia carta e stoffa
FORBICI,Tagliano in due lame
FORBICINA,Insetto con le pinze sul dorso
FORCA,Attrezzo agricolo o patibolo
FORCA,Il patibolo dell'impiccato
FORCHETTA,Posata con i rebbi
FORCHETTE,Infilzano pasta e insalata
FORCONE,L'attrezzo a denti per il fieno
FORD,"Harrison..., l'attore di Indiana Jones"
FORD,Il pioniere americano della catena di montaggio
FORGIAI,Passato remoto: Dare forma col fuoco
FORGIATURA,Lavorazione del metallo al fuoco
FORIERO,Annuncia qualcosa prima che arrivi
FORINT,La valuta dell'Ungheria
FORMA,"Aspetto, stampo o condizione fisica"
FORMA,La condizione fisica: essere in...
FORMAGGIERA,Recipiente per il formaggio grattugiato
FORMAGGIO,Latte diventato forma e stagionatura
FORMAI,Plasmai o educai
FORMANTE,Elemento che contribuisce a dare forma
